WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
42 	CDI49910.1	 298	 176.4	 8.0E-54	 4.6E-50 	100.00%	 7	TPR repeat-containing protein [Clostridium tetani 12124569]	    7: 6.5e-07   76: 1.9e-13  110: 1.4e-10  144: 1.1e-07  178: 1.1e-10  212: 6.5e-07  246: 1.1e-08
43 	AJE12896.1	 303	 175.6	 1.4E-53	 7.7E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum CDC_1436]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
44 	APQ98837.1	 303	 175.6	 1.4E-53	 7.7E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
45 	AUM95009.1	 303	 175.1	 1.9E-53	 1.1E-49 	100.00%	 8	hypothetical protein RSJ11_07565 [Clostridium sporogenes]	    6: 6.6e-04   42: 2.6e-10   76: 2.4e-12  110: 2.5e-09  144: 1.0e-06  178: 1.7e-06  212: 5.4e-08  246: 3.3e-10
46 	AVQ39673.1	 303	 175.1	 1.9E-53	 1.1E-49 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 6.6e-04   42: 2.6e-10   76: 2.4e-12  110: 2.5e-09  144: 1.0e-06  178: 1.7e-06  212: 5.4e-08  246: 3.3e-10
47 	AVQ43083.1	 303	 175.1	 1.9E-53	 1.1E-49 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 6.6e-04   42: 2.6e-10   76: 2.4e-12  110: 2.5e-09  144: 1.0e-06  178: 1.7e-06  212: 5.4e-08  246: 3.3e-10
48 	AVQ52448.1	 303	 175.1	 1.9E-53	 1.1E-49 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 6.6e-04   42: 2.6e-10   76: 2.4e-12  110: 2.5e-09  144: 1.0e-06  178: 1.7e-06  212: 5.4e-08  246: 3.3e-10
49 	AKC61865.1	 304	 175.0	 2.0E-53	 1.2E-49 	100.00%	 8	TPR repeat-containing protein [Clostridium sporogenes]	    6: 6.6e-04   42: 3.6e-10   76: 2.4e-12  110: 2.5e-09  144: 3.5e-06  178: 1.7e-06  212: 1.2e-07  246: 3.2e-11
50 	AKJ89172.1	 304	 175.0	 2.0E-53	 1.2E-49 	100.00%	 8	tetratricopeptide TPR_2 repeat protein [Clostridium sporogenes]	    6: 6.6e-04   42: 3.6e-10   76: 2.4e-12  110: 2.5e-09  144: 3.5e-06  178: 1.7e-06  212: 1.2e-07  246: 3.2e-11
51 	APH15122.1	 303	 174.3	 3.4E-53	 1.9E-49 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium sporogenes]	    6: 9.3e-04   42: 3.6e-10   76: 2.7e-12  110: 2.9e-09  144: 1.0e-06  178: 1.7e-06  212: 3.0e-08  246: 4.1e-10
52 	ACQ52189.1	 303	 170.0	 6.9E-52	 3.9E-48 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum Ba4 str. 657]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 1.2e-07  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
53 	AXG91678.1	 303	 170.0	 6.9E-52	 3.9E-48 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 1.2e-07  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
54 	ACL75544.1	 293	 168.3	 2.1E-51	 1.2E-47 	100.00%	 7	Tetratricopeptide TPR_2 repeat protein [Ruminiclostridium cellulolyticum H10]	   30: 2.7e-08   64: 4.2e-14   98: 8.6e-10  132: 9.6e-11  166: 6.1e-06  200: 1.2e-07  234: 2.8e-07
55 	AEG15007.1	 383	 167.9	 2.8E-51	 1.6E-47 	100.00%	 9	Tetratricopeptide TPR_1 repeat-containing protein [Desulfofundulus kuznetsovii DSM 6115]	   15: 3.4e-04   49: 2.4e-03  145: 2.3e-03  179: 7.0e-09  213: 8.0e-10  247: 2.1e-10  281: 1.2e-10  315: 1.2e-08  349: 2.5e-09
56 	QJU43495.1	 308	 165.5	 1.5E-50	 8.7E-47 	100.00%	 8	tetratricopeptide repeat protein [Clostridium butyricum]	    8: 7.5e-05   44: 1.3e-06   78: 3.0e-11  112: 5.3e-07  146: 2.8e-11  180: 8.7e-10  214: 3.5e-08  248: 1.3e-05
57 	APF22963.1	 308	 163.8	 5.1E-50	 2.9E-46 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium butyricum]	    8: 7.5e-05   44: 1.3e-06   78: 3.0e-11  112: 5.3e-07  146: 2.8e-11  180: 2.9e-09  214: 3.5e-08  248: 1.3e-05
58 	BBK77548.1	 308	 162.8	 9.8E-50	 5.6E-46 	100.00%	 8	hypothetical protein Cbu04g_25560 [Clostridium butyricum]	    8: 7.6e-05   44: 3.5e-06   78: 3.0e-11  112: 4.0e-06  146: 4.8e-11  180: 8.7e-10  214: 3.6e-08  248: 2.2e-06
59 	AOQ23862.1	 297	 159.5	 9.5E-49	 5.4E-45 	100.00%	 8	TPR repeat-containing protein YrrB [Moorella thermoacetica]	   24: 7.7e-03   58: 9.4e-12   92: 1.9e-08  126: 4.1e-11  160: 1.6e-09  194: 3.8e-06  228: 6.6e-07  262: 1.3e-05
60 	APC08303.1	 297	 156.3	 8.7E-48	 5.0E-44 	100.00%	 8	TPR repeat-containing protein YrrB [Moorella thermoacetica]	   24: 7.7e-03   58: 9.4e-12   92: 1.7e-08  126: 4.1e-11  160: 1.6e-09  194: 3.8e-06  228: 6.6e-06  262: 1.3e-05
61 	AKX93910.1	 297	 156.2	 9.5E-48	 5.4E-44 	100.00%	 8	TPR repeat-containing protein YrrB [Moorella thermoacetica]	   24: 7.7e-03   58: 9.4e-12   92: 1.9e-08  126: 4.1e-11  160: 1.6e-09  194: 3.8e-06  228: 6.6e-06  262: 1.3e-05
62 	AKX96551.1	 297	 156.2	 9.5E-48	 5.4E-44 	100.00%	 8	TPR repeat-containing protein YrrB [Moorella thermoacetica]	   24: 7.7e-03   58: 9.4e-12   92: 1.9e-08  126: 4.1e-11  160: 1.6e-09  194: 3.8e-06  228: 6.6e-06  262: 1.3e-05
63 	QDA00365.1	 297	 156.2	 9.5E-48	 5.4E-44 	100.00%	 8	TPR repeat-containing protein YrrB [Moorella thermoacetica]	   24: 7.7e-03   58: 9.4e-12   92: 1.9e-08  126: 4.1e-11  160: 1.6e-09  194: 3.8e-06  228: 6.6e-06  262: 1.3e-05
64 	ABC19460.1	 299	 155.9	 1.1E-47	 6.5E-44 	100.00%	 8	conserved hypothetical protein [Moorella thermoacetica ATCC 39073]	   26: 7.7e-03   60: 9.4e-12   94: 1.9e-08  128: 4.1e-11  162: 1.6e-09  196: 3.8e-06  230: 6.6e-06  264: 1.3e-05
65 	AGK98590.1	 311	 154.2	 3.8E-47	 2.2E-43 	100.00%	 7	tetratricopeptide repeat protein [Clostridium pasteurianum BC1]	    7: 2.0e-05   42: 1.2e-09   76: 4.1e-13  110: 4.5e-07  144: 5.1e-10  178: 5.3e-08  245: 2.9e-05
66 	ADL12272.1	 251	 136.6	 7.4E-42	 4.2E-38 	100.00%	 6	Tetratricopeptide TPR_2 repeat protein [Acetohalobium arabaticum DSM 5501]	   33: 2.0e-06   67: 2.0e-07  101: 2.5e-07  135: 4.5e-10  169: 2.3e-09  203: 2.6e-11
67 	ASS73826.1	 429	 133.1	 8.8E-41	 5.0E-37 	100.00%	 9	hypothetical protein CIG75_01785 [Tumebacillus algifaecis]	   71: 1.2e-04  108: 5.4e-06  148: 3.3e-05  190: 4.5e-08  230: 2.1e-10  270: 8.6e-06  310: 1.0e-09  348: 1.0e-04  388: 1.6e-04
68 	ARU60561.1	 429	 132.9	 1.0E-40	 5.7E-37 	100.00%	 9	hypothetical protein CBW65_05320 [Tumebacillus avium]	   71: 2.1e-04  108: 8.0e-06  148: 3.1e-05  190: 9.4e-08  230: 3.3e-10  270: 6.1e-06  310: 1.8e-09  348: 2.8e-06  388: 6.9e-04
69 	AKP47571.1	 418	 125.9	 1.3E-38	 7.4E-35 	100.00%	10	TPR-repeat-containing proteinputative component of Menaquinone-cytochrome C reductase [Bacillus smithii]	   32: 1.4e-04   66: 4.8e-05  100: 2.9e-05  134: 3.4e-07  204: 4.2e-07  238: 2.3e-05  272: 1.2e-08  306: 4.0e-03  340: 1.9e-06  374: 1.5e-05
70 	ACB85175.1	 355	 122.3	 1.5E-37	 8.6E-34 	100.00%	 6	Tetratricopeptide TPR_2 repeat protein [Natranaerobius thermophilus JW/NM-WN-LF]	  144: 9.6e-05  178: 1.8e-07  215: 1.0e-08  249: 1.4e-11  285: 1.7e-11  319: 2.4e-05
71 	VTQ83649.1	 267	 119.8	 8.4E-37	 4.8E-33 	100.00%	 6	Tfp pilus assembly protein PilF [Hathewaya histolytica]	   36: 1.9e-08   70: 1.1e-07  104: 7.3e-10  138: 1.8e-07  172: 2.9e-05  206: 1.7e-08
72 	AKN14253.1	 423	 118.4	 2.2E-36	 1.3E-32 	100.00%	10	TPR-repeat-containing protein [Bacillus subtilis]	   33: 1.3e-03   67: 4.5e-03  101: 8.4e-04  135: 3.4e-06  171: 4.3e-08  238: 7.6e-08  272: 5.6e-06  306: 9.4e-06  340: 1.5e-06  374: 3.0e-05
73 	AHA78132.1	 423	 116.3	 1.0E-35	 5.8E-32 	100.00%	10	TPR repeat-containing protein ypiA [Bacillus subtilis PY79]	   33: 1.4e-03   67: 7.4e-03  101: 2.2e-04  135: 7.5e-06  171: 4.3e-08  238: 5.6e-08  272: 1.5e-05  306: 1.3e-05  340: 3.8e-06  374: 2.0e-05
74 	AJO18740.1	 424	 116.2	 1.1E-35	 6.1E-32 	100.00%	10	hypothetical protein SC10_B2orf03715 [Bacillus paralicheniformis]	   33: 2.2e-03   67: 4.2e-03  101: 6.4e-05  135: 6.2e-06  171: 8.3e-09  238: 9.5e-07  272: 3.7e-08  306: 1.6e-03  340: 9.6e-05  374: 3.4e-06
75 	AGL01447.1	 357	 115.7	 1.4E-35	 8.2E-32 	100.00%	 7	tetratricopeptide repeat protein [Desulfallas gibsoniae DSM 7213]	   14: 9.9e-06   48: 1.7e-03  154: 6.9e-09  188: 1.6e-08  222: 1.5e-10  256: 3.3e-08  293: 8.6e-04
76 	QIB25920.1	 429	 115.6	 1.5E-35	 8.9E-32 	100.00%	 9	helix-turn-helix domain-containing protein [Caloranaerobacter azorensis]	   75: 2.4e-04  115: 1.2e-04  155: 1.6e-05  197: 1.5e-08  237: 2.2e-04  277: 2.6e-08  316: 3.8e-06  356: 3.0e-02  396: 1.3e-09
77 	CCQ21452.1	 417	 113.6	 6.2E-35	 3.5E-31 	100.00%	10	TPR repeat-containing protein ypiA [Listeria monocytogenes]	   32: 6.2e-04   66: 7.1e-06  100: 2.7e-05  134: 9.8e-04  206: 5.3e-09  240: 2.0e-07  274: 3.7e-07  308: 1.5e-02  342: 2.5e-05  376: 2.8e-04
78 	CCQ24582.1	 417	 113.6	 6.2E-35	 3.5E-31 	100.00%	10	TPR repeat-containing protein ypiA [Listeria monocytogenes N53-1]	   32: 6.2e-04   66: 7.1e-06  100: 2.7e-05  134: 9.8e-04  206: 5.3e-09  240: 2.0e-07  274: 3.7e-07  308: 1.5e-02  342: 2.5e-05  376: 2.8e-04
79 	AFI28797.1	 423	 113.5	 6.6E-35	 3.8E-31 	100.00%	10	TPR-repeat-containing protein [Bacillus sp. JS]	   33: 1.3e-03   67: 4.5e-03  101: 1.9e-04  135: 4.7e-06  171: 1.8e-07  238: 6.5e-07  272: 5.6e-06  306: 1.1e-05  340: 3.3e-06  374: 3.0e-05
80 	SON69269.1	 421	 113.2	 8.3E-35	 4.8E-31 	100.00%	10	conserved protein of unknown function [Latilactobacillus sakei]	   32: 4.9e-06   66: 3.3e-03  100: 3.3e-05  134: 5.6e-07  204: 1.9e-07  238: 1.1e-05  272: 5.9e-07  306: 7.9e-03  340: 5.8e-06  374: 3.1e-04
81 	SON65226.1	 421	 112.2	 1.7E-34	 9.7E-31 	100.00%	10	conserved protein of unknown function [Latilactobacillus sakei]	   32: 4.9e-06   66: 3.3e-03  100: 3.3e-05  134: 5.6e-07  204: 1.9e-07  238: 1.1e-05  272: 5.9e-07  306: 1.7e-02  340: 5.8e-06  374: 3.1e-04
82 	AAM24043.1	 428	 111.7	 2.4E-34	 1.4E-30 	100.00%	 7	TPR-repeat-containing proteins [Caldanaerobacter subterraneus subsp. tengcongensis MB4]	  119: 3.9e-06  159: 6.1e-09  199: 3.6e-04  239: 5.2e-06  278: 1.5e-08  317: 1.1e-07  377: 8.3e-06
83 	SPN71384.1	 422	 111.3	 3.2E-34	 1.8E-30 	100.00%	10	conserved hypothetical protein [Brochothrix thermosphacta]	   32: 1.9e-04   66: 2.7e-04  100: 1.7e-05  134: 8.1e-05  171: 1.1e-09  238: 4.7e-04  272: 1.1e-07  306: 8.9e-03  341: 7.8e-07  375: 6.5e-04
84 	SON73293.1	 421	 110.4	 5.9E-34	 3.4E-30 	100.00%	10	TPR repeat family protein [Latilactobacillus sakei]	   32: 4.9e-06   66: 3.3e-03  100: 3.3e-05  134: 9.1e-07  204: 1.9e-07  238: 1.1e-05  272: 5.9e-07  306: 7.9e-03  340: 2.5e-05  374: 3.1e-04
85 	BCD36589.1	 443	 110.2	 6.6E-34	 3.8E-30 	100.00%	 7	hypothetical protein ANCC_26250 [Anaerostipes caccae L1-92]	   11: 3.7e-08   45: 2.0e-04  101: 1.1e-06  135: 1.0e-06  261: 9.5e-03  355: 5.8e-11  389: 2.7e-07
86 	AYY30497.1	 420	 109.2	 1.3E-33	 7.6E-30 	100.00%	 9	tetratricopeptide repeat protein [Bacillus sp. FDAARGOS_527]	   66: 1.8e-03  100: 9.9e-04  134: 4.0e-05  170: 6.1e-07  237: 4.1e-07  271: 1.4e-10  305: 1.6e-02  339: 9.1e-07  373: 2.1e-05
87 	QHG34373.1	 420	 109.2	 1.3E-33	 7.6E-30 	100.00%	 9	tetratricopeptide repeat protein [Bacillus paranthracis]	   66: 1.8e-03  100: 9.9e-04  134: 4.0e-05  170: 6.1e-07  237: 4.1e-07  271: 1.4e-10  305: 1.6e-02  339: 9.1e-07  373: 2.1e-05
88 	BCJ97714.1	 467	 108.0	 3.0E-33	 1.7E-29 	100.00%	 7	hypothetical protein bsdcttw_07550 [Anaerocolumna sp. CTTW]	   34: 1.2e-07   75: 7.1e-03  124: 2.9e-07  158: 5.1e-10  351: 9.2e-04  386: 5.2e-09  420: 1.5e-07
