WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
14 	AWD90804.1	 257	   6.3	 1.2E-02	 1.2E+00 	  0.01%	 1	repressor protein C [Burkholderia phage vB_BmuP_KL4]	   44: 1.2e-02
15 	ACH42339.1	 379	   5.8	 1.8E-02	 1.7E+00 	  0.00%	 1	helix-turn-helix protein [Bacillus virus IEBH]	  304: 1.8e-02
16 	QFG10718.1	 392	   4.7	 3.8E-02	 3.7E+00 	  0.00%	 1	DNA binding protein [Streptomyces phage Animus]	  151: 3.8e-02
17 	AGD93021.1	 491	   4.6	 4.0E-02	 4.0E+00 	  0.00%	 1	putative Sel1-like repeat-containing protein [Megavirus lba]	  233: 4.0e-02
18 	QBX26116.1	 253	   4.1	 5.9E-02	 5.8E+00 	  0.00%	 1	repressor [Streptococcus phage Javan290]	  136: 5.9e-02
19 	QBX16881.1	 260	   4.0	 6.1E-02	 6.0E+00 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan291]	  143: 6.1e-02
20 	QBX19064.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan467]	   93: 7.9e-02
21 	QBX19284.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan481]	   93: 7.9e-02
22 	QBX19494.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan487]	   93: 7.9e-02
23 	QBX20139.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan509]	   93: 7.9e-02
24 	QBX28369.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan450]	   93: 7.9e-02
25 	QBX29572.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan502]	   93: 7.9e-02
26 	QBX30043.1	 251	   3.7	 7.9E-02	 7.7E+00 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan520]	   93: 7.9e-02
27 	QBX30734.1	 252	   3.2	 1.1E-01	 1.1E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan570]	  137: 1.1e-01
28 	AIU44346.1	 289	   3.1	 1.2E-01	 1.1E+01 	  0.00%	 1	putative cI repressor [Streptococcus phage T12]	    3: 1.2e-01
29 	AFX93155.1	 492	   2.8	 1.4E-01	 1.4E+01 	  0.00%	 1	putative Sel1-like repeat-containing protein [Megavirus courdo11]	  102: 1.4e-01
30 	QBX31786.1	 256	   2.6	 1.7E-01	 1.6E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan74]	  137: 1.7e-01
31 	AEX55830.1	 290	   2.5	 1.8E-01	 1.8E+01 	  0.00%	 1	putative phage repressor [Pseudomonas phage phi297]	   99: 1.8e-01
32 	AUG87176.1	 402	   2.5	 1.8E-01	 1.8E+01 	  0.00%	 1	helix-turn-helix DNA binding domain protein [Streptomyces phage Attoomi]	  333: 1.8e-01
33 	QBX31475.1	 256	   2.5	 1.8E-01	 1.8E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan64]	  137: 1.8e-01
34 	QBX22612.1	 253	   2.4	 1.9E-01	 1.8E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan91]	   95: 1.9e-01
35 	QBX31940.1	 253	   2.4	 1.9E-01	 1.8E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage Javan88]	   95: 1.9e-01
36 	QBX28007.1	 267	   2.2	 2.2E-01	 2.2E+01 	  0.00%	 1	repressor [Streptococcus phage Javan436]	  108: 2.2e-01
37 	QBX14689.1	 251	   2.1	 2.3E-01	 2.3E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan149]	   98: 2.3e-01
38 	AAK07510.2	 286	   2.1	 2.4E-01	 2.3E+01 	  0.00%	 1	phage repressor [Lactococcus phage phiLC3]	   80: 2.4e-01
39 	ANS02395.2	 286	   2.1	 2.4E-01	 2.3E+01 	  0.00%	 1	Cl-like repressor [Lactococcus phage 50101]	   80: 2.4e-01
40 	ANS02648.2	 286	   2.1	 2.4E-01	 2.3E+01 	  0.00%	 1	repressor [Lactococcus phage 86501]	   80: 2.4e-01
41 	QBX09758.1	 280	   2.0	 2.5E-01	 2.4E+01 	  0.00%	 1	hypothetical protein JavanS379_0011 [Streptococcus satellite phage Javan379]	  160: 2.5e-01
42 	QBX14278.1	 251	   2.0	 2.5E-01	 2.5E+01 	  0.00%	 1	repressor [Streptococcus phage Javan133]	  134: 2.5e-01
43 	QBX14567.1	 251	   2.0	 2.5E-01	 2.5E+01 	  0.00%	 1	repressor [Streptococcus phage Javan143]	  134: 2.5e-01
44 	QBX23323.1	 251	   2.0	 2.5E-01	 2.5E+01 	  0.00%	 1	repressor [Streptococcus phage Javan126]	  134: 2.5e-01
45 	QBX23819.1	 251	   2.0	 2.5E-01	 2.5E+01 	  0.00%	 1	repressor [Streptococcus phage Javan164]	  134: 2.5e-01
46 	ALY07668.1	 348	   2.0	 2.6E-01	 2.5E+01 	  0.00%	 1	helix-turn-helix DNA binding protein [Gordonia phage Howe]	   83: 2.6e-01
47 	QDF16814.1	 348	   2.0	 2.6E-01	 2.5E+01 	  0.00%	 1	helix-turn-helix DNA binding protein [Gordonia phage Twinkle]	   83: 2.6e-01
48 	CDL74591.1	 271	   1.8	 3.0E-01	 2.9E+01 	  0.00%	 1	Putative Cro/CI transcriptional regulator [Pseudomonas phage vB_PaeP_Tr60_Ab31]	  143: 3.0e-01
49 	QBX08464.1	 280	   1.6	 3.4E-01	 3.3E+01 	  0.00%	 1	hypothetical protein JavanS267_0003 [Streptococcus satellite phage Javan267]	  150: 3.4e-01
50 	QBX21572.1	 250	   1.5	 3.5E-01	 3.4E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan583]	  133: 3.5e-01
51 	QBX27803.1	 251	   1.5	 3.6E-01	 3.5E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan420]	   98: 3.6e-01
52 	AJA42644.1	 388	   1.4	 3.7E-01	 3.6E+01 	  0.00%	 1	XRE family transcriptional regulator (endogenous virus) [Clostridium phage phiCT9441A]	  237: 3.7e-01
53 	AZF90495.1	 251	   1.3	 4.2E-01	 4.1E+01 	  0.00%	 1	DNA-binding protein [Streptococcus phage CHPC663]	   82: 4.2e-01
54 	QBX31145.1	 339	   1.0	 5.1E-01	 5.0E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan616]	    6: 5.1e-01
55 	AZF89553.1	 264	   0.9	 5.3E-01	 5.2E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage 109751]	  192: 5.3e-01
56 	ALA47320.1	 263	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	HTH_3 domain protein [Streptococcus phage phiARI0131-1]	  191: 6.0e-01
57 	APD22506.1	 264	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP26]	  192: 6.0e-01
58 	APD23208.1	 263	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP40]	  191: 6.0e-01
59 	APD23630.1	 264	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP50]	  192: 6.0e-01
60 	APD24113.1	 263	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP61]	  191: 6.0e-01
61 	APD21629.1	 263	   0.7	 6.0E-01	 5.9E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP9]	  191: 6.0e-01
62 	QBX18467.1	 268	   0.7	 6.1E-01	 6.0E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan427]	  193: 6.1e-01
63 	CCE73803.1	 412	   0.5	 7.0E-01	 6.9E+01 	  0.00%	 1	DNA-binding protein containing XRE family HTH domain [Staphylococcus phage SpaA1]	  270: 7.0e-01
64 	AFL46417.1	 416	   0.5	 7.0E-01	 6.9E+01 	  0.00%	 1	HTH transcriptional regulator [Bacillus phage BtCS33]	  274: 7.0e-01
65 	CCE73866.1	 412	   0.5	 7.0E-01	 6.9E+01 	  0.00%	 1	DNA-binding protein containing XRE family HTH domain [Bacillus phage BceA1]	  270: 7.0e-01
66 	QBX19705.1	 254	   0.5	 7.2E-01	 7.1E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan493]	  103: 7.2e-01
67 	QBX22606.1	 254	   0.5	 7.2E-01	 7.1E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan87]	  103: 7.2e-01
68 	QBX30047.1	 254	   0.5	 7.2E-01	 7.1E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan522]	  103: 7.2e-01
69 	QBX32045.1	 254	   0.5	 7.2E-01	 7.1E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan90]	  103: 7.2e-01
70 	AHN84590.1	 263	   0.4	 7.3E-01	 7.2E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage Spn1]	  191: 7.3e-01
71 	APD23095.1	 263	   0.4	 7.3E-01	 7.2E+01 	  0.00%	 1	CI-like repressor [Streptococcus phage IPP38]	  191: 7.3e-01
72 	QBX18601.1	 365	   0.4	 7.3E-01	 7.2E+01 	  0.00%	 1	repressor [Streptococcus phage Javan433]	  293: 7.3e-01
73 	QBX18608.1	 365	   0.4	 7.3E-01	 7.2E+01 	  0.00%	 1	repressor [Streptococcus phage Javan439]	  293: 7.3e-01
74 	QBX28096.1	 365	   0.4	 7.3E-01	 7.2E+01 	  0.00%	 1	repressor [Streptococcus phage Javan440]	  293: 7.3e-01
75 	QBX08733.1	 254	   0.4	 7.4E-01	 7.3E+01 	  0.00%	 1	repressor [Streptococcus satellite phage Javan292]	  193: 7.4e-01
76 	QBX08755.1	 254	   0.4	 7.4E-01	 7.3E+01 	  0.00%	 1	transcriptional repressor [Streptococcus satellite phage Javan293]	  193: 7.4e-01
77 	QBX10878.1	 261	   0.4	 7.5E-01	 7.4E+01 	  0.00%	 1	transcriptional repressor [Streptococcus satellite phage Javan50]	  141: 7.5e-01
78 	QBX28439.1	 251	   0.4	 7.7E-01	 7.5E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan454]	   84: 7.7e-01
79 	QBX28949.1	 251	   0.4	 7.7E-01	 7.5E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan474]	   84: 7.7e-01
80 	QBX11707.1	 282	   0.4	 7.8E-01	 7.7E+01 	  0.00%	 1	hypothetical protein JavanS602_0012 [Streptococcus satellite phage Javan602]	   63: 7.8e-01
81 	QBX11712.1	 282	   0.4	 7.8E-01	 7.7E+01 	  0.00%	 1	hypothetical protein JavanS603_0003 [Streptococcus satellite phage Javan603]	   63: 7.8e-01
82 	QBX16459.1	 254	   0.4	 7.8E-01	 7.6E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan253]	   85: 7.8e-01
83 	AMW64499.1	 253	   0.3	 8.0E-01	 7.8E+01 	  0.00%	 1	transcription repressor (endogenous virus) [Pseudomonas phage phiAH14a]	  137: 8.0e-01
84 	QBX28497.1	 252	   0.3	 8.0E-01	 7.8E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan456]	   98: 8.0e-01
85 	QBX15019.1	 254	   0.3	 8.2E-01	 8.0E+01 	  0.00%	 1	HTH-type transcriptional regulator [Streptococcus phage Javan169]	  103: 8.2e-01
86 	QBX17687.1	 257	   0.3	 8.4E-01	 8.2E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan37]	  205: 8.4e-01
87 	ACH91363.1	 387	   0.2	 8.8E-01	 8.6E+01 	  0.00%	 1	putative phage DNA-binding protein [Clostridium virus phiCD27]	   13: 8.8e-01
88 	ALA47184.1	 261	   0.1	 9.0E-01	 8.8E+01 	  0.00%	 1	HTH_3 domain protein [Streptococcus phage phiARI0460-1]	   87: 9.0e-01
89 	QBX15597.1	 311	   0.2	 9.0E-01	 8.8E+01 	  0.00%	 1	antirepressor protein [Streptococcus phage Javan197]	  139: 9.0e-01
90 	QBX24493.1	 311	   0.2	 9.0E-01	 8.8E+01 	  0.00%	 1	antirepressor protein [Streptococcus phage Javan190]	  139: 9.0e-01
91 	QBX24547.1	 311	   0.2	 9.0E-01	 8.8E+01 	  0.00%	 1	antirepressor protein [Streptococcus phage Javan192]	  139: 9.0e-01
92 	QBX17900.1	 251	   0.1	 9.3E-01	 9.1E+01 	  0.00%	 1	pleiotropic regulator of exopolysaccharide synthesis, competence and biofilm formation [Streptococcus phage Javan383]	  100: 9.3e-01
93 	AZF92187.1	 347	   0.0	 9.8E-01	 9.6E+01 	  0.00%	 1	DNA-binding protein [Streptococcus phage CHPC1246]	   68: 9.8e-01
94 	AZF92233.1	 347	   0.0	 9.8E-01	 9.6E+01 	  0.00%	 1	DNA-binding protein [Streptococcus phage CHPC1247]	   68: 9.8e-01
95 	AZF92287.1	 347	   0.0	 9.8E-01	 9.6E+01 	  0.00%	 1	DNA-binding protein [Streptococcus phage CHPC1248]	   68: 9.8e-01
96 	AYP29577.1	 347	   0.0	 9.8E-01	 9.6E+01 	  0.00%	 1	DNA binding protein [Streptococcus phage SW14]	   68: 9.8e-01
97 	AYP30068.1	 347	   0.0	 9.8E-01	 9.6E+01 	  0.00%	 1	DNA binding protein [Streptococcus phage SW1151]	   68: 9.8e-01
98 	QBX25353.1	 254	   0.0	 9.9E-01	 9.7E+01 	  0.00%	 1	transcriptional repressor [Streptococcus phage Javan252]	   85: 9.9e-01

