WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
15 	BCU80944.1	 442	  94.0	 5.2E-29	 1.8E-25 	100.00%	 7	hypothetical protein JIR001_07270 [Polycladomyces abyssicola]	  116: 2.0e-09  159: 1.0e-05  200: 3.1e-03  239: 1.9e-04  279: 4.1e-07  318: 1.8e-05  357: 3.0e-08
16 	QKG85413.1	 441	  92.0	 2.0E-28	 7.2E-25 	100.00%	 7	helix-turn-helix transcriptional regulator [Kroppenstedtia pulmonis]	  116: 1.3e-06  156: 3.9e-03  197: 3.1e-04  237: 5.4e-06  277: 6.7e-07  317: 1.8e-08  357: 1.1e-07
17 	SNV68501.1	 434	  90.6	 5.3E-28	 1.8E-24 	100.00%	 9	transcriptional regulator [Clostridium cochlearium]	   75: 1.6e-05  115: 1.6e-04  155: 1.9e-07  197: 2.2e-04  237: 1.5e-06  277: 1.1e-05  316: 1.6e-02  355: 6.6e-05  395: 9.1e-05
18 	ARU61338.1	 429	  90.5	 5.6E-28	 2.0E-24 	100.00%	 9	hypothetical protein CBW65_10255 [Tumebacillus avium]	   71: 7.7e-03  108: 1.2e-05  148: 2.0e-05  190: 7.2e-08  230: 2.3e-06  270: 5.8e-05  310: 5.9e-07  348: 2.9e-02  388: 8.3e-04
19 	ACM13734.1	 365	  89.3	 1.3E-27	 4.7E-24 	100.00%	 7	response regulator aspartate phosphatase [Bacillus cereus Q1]	   96: 3.1e-06  135: 1.1e-06  176: 2.2e-07  216: 8.8e-07  250: 9.4e-05  288: 2.6e-02  328: 3.9e-07
20 	QKG83360.1	 443	  88.6	 2.1E-27	 7.5E-24 	100.00%	 7	helix-turn-helix transcriptional regulator [Kroppenstedtia pulmonis]	  116: 1.1e-07  159: 3.4e-06  200: 1.9e-03  240: 1.1e-04  280: 1.5e-07  320: 2.1e-06  360: 4.1e-06
21 	QTD41035.1	 432	  88.4	 2.4E-27	 8.5E-24 	100.00%	 5	tetratricopeptide repeat protein [Sporosarcina sp. Te-1]	  153: 2.5e-06  194: 5.5e-05  234: 7.3e-12  274: 1.0e-09  390: 2.5e-03
22 	AJG78281.1	 365	  88.0	 3.3E-27	 1.2E-23 	100.00%	 7	tetratricopeptide repeat family protein [Bacillus thuringiensis]	   96: 3.1e-06  135: 1.1e-06  176: 2.2e-07  216: 8.8e-07  250: 1.1e-04  288: 3.6e-02  328: 6.8e-07
23 	QKH23200.1	 365	  88.0	 3.3E-27	 1.2E-23 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis]	   96: 3.1e-06  135: 1.1e-06  176: 2.2e-07  216: 8.8e-07  250: 1.1e-04  288: 3.6e-02  328: 6.8e-07
24 	AQS06673.1	 432	  87.4	 4.8E-27	 1.7E-23 	100.00%	 8	tetratricopeptide repeat protein [Clostridium beijerinckii]	  116: 1.7e-05  156: 4.7e-05  196: 2.5e-05  236: 2.3e-05  275: 2.0e-07  314: 1.5e-06  354: 6.3e-03  394: 2.1e-05
25 	AIW84079.1	 365	  86.6	 8.6E-27	 3.0E-23 	100.00%	 6	Response regulator rapE [Bacillus mycoides]	   96: 1.1e-05  135: 1.0e-05  176: 1.5e-07  216: 1.0e-06  250: 9.4e-05  328: 9.3e-07
26 	AIM04561.1	 337	  85.9	 1.3E-26	 4.7E-23 	100.00%	 7	transcriptional regulator [Bacillus anthracis]	   66: 2.3e-03  104: 2.3e-05  144: 9.3e-08  185: 4.8e-11  223: 7.1e-06  264: 3.4e-02  302: 3.4e-04
27 	ARU61290.1	 431	  85.5	 1.8E-26	 6.2E-23 	100.00%	 7	hypothetical protein CBW65_10000 [Tumebacillus avium]	  110: 1.3e-06  150: 2.8e-04  192: 9.3e-07  232: 2.3e-07  272: 1.7e-03  312: 1.5e-05  350: 6.0e-07
28 	AIK35086.1	 422	  85.5	 1.9E-26	 6.6E-23 	100.00%	 7	tetratricopeptide repeat family protein [Bacillus anthracis]	  151: 2.3e-03  189: 2.5e-06  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
29 	AJI02507.1	 351	  85.2	 2.2E-26	 7.9E-23 	100.00%	 7	tetratricopeptide repeat family protein [Bacillus anthracis str. V770-NP-1R]	   80: 2.3e-03  118: 2.3e-05  158: 9.3e-08  199: 4.8e-11  237: 7.1e-06  278: 3.4e-02  316: 3.4e-04
30 	AOY54215.1	 433	  84.8	 2.9E-26	 1.0E-22 	100.00%	 9	helix-turn-helix domain-containing protein [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 2.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
31 	QKI81413.1	 457	  84.8	 2.9E-26	 1.0E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Kroppenstedtia eburnea]	   95: 2.7e-03  131: 2.7e-06  172: 2.4e-05  213: 1.3e-02  253: 3.9e-04  293: 9.0e-06  333: 6.6e-09  373: 1.3e-06
32 	AFQ24369.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	transcriptional activator NprR [Bacillus thuringiensis HD-789]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
33 	AJH03783.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	helix-turn-helix family protein [Bacillus thuringiensis HD1002]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
34 	AQY37066.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	transcriptional regulator [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
35 	QCJ51660.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
36 	QFP87290.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
37 	QJU65785.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis serovar israelensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
38 	QKH19836.1	 423	  84.5	 3.8E-26	 1.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 7.9e-06  349: 3.6e-02  387: 9.1e-05
39 	QTR87189.1	 426	  84.1	 4.8E-26	 1.7E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Bacillus cytotoxicus]	  111: 7.8e-03  151: 8.5e-04  189: 4.4e-04  229: 6.3e-06  270: 5.2e-11  311: 3.0e-05  345: 6.7e-03  390: 5.5e-05
40 	QTR83453.1	 426	  84.1	 4.8E-26	 1.7E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Bacillus cytotoxicus]	  111: 7.8e-03  151: 8.5e-04  189: 4.4e-04  229: 6.3e-06  270: 5.2e-11  311: 3.0e-05  345: 6.7e-03  390: 5.5e-05
41 	QTR73060.1	 426	  84.1	 4.8E-26	 1.7E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Bacillus cytotoxicus]	  111: 7.8e-03  151: 8.5e-04  189: 4.4e-04  229: 6.3e-06  270: 5.2e-11  311: 3.0e-05  345: 6.7e-03  390: 5.5e-05
42 	QTR71658.1	 426	  84.1	 4.8E-26	 1.7E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Bacillus cytotoxicus]	  111: 7.8e-03  151: 8.5e-04  189: 4.4e-04  229: 6.3e-06  270: 5.2e-11  311: 3.0e-05  345: 6.7e-03  390: 5.5e-05
43 	QTR68123.1	 426	  84.1	 4.8E-26	 1.7E-22 	100.00%	 8	helix-turn-helix transcriptional regulator [Bacillus cytotoxicus]	  111: 7.8e-03  151: 8.5e-04  189: 4.4e-04  229: 6.3e-06  270: 5.2e-11  311: 3.0e-05  345: 6.7e-03  390: 5.5e-05
44 	AFQ17066.1	 423	  83.9	 5.6E-26	 2.0E-22 	100.00%	 7	transcriptional activator [Bacillus thuringiensis HD-771]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 8.7e-13  308: 2.4e-06  342: 1.0e-03
45 	QGV05485.1	 423	  83.9	 5.6E-26	 2.0E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 8.7e-13  308: 2.4e-06  342: 1.0e-03
46 	ALG49008.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix domain-containing protein [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
47 	QPR50997.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix transcriptional regulator [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
48 	QPS24542.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix transcriptional regulator [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
49 	QPS26558.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix transcriptional regulator [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
50 	QPS29329.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix transcriptional regulator [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
51 	SQG39553.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix domain-containing protein [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
52 	SQI04745.1	 433	  83.8	 6.0E-26	 2.1E-22 	100.00%	 9	helix-turn-helix domain-containing protein [Clostridium perfringens]	   75: 2.1e-04  115: 9.1e-05  155: 8.6e-05  197: 1.0e-04  237: 5.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
53 	ASB61736.1	 375	  83.7	 6.5E-26	 2.3E-22 	100.00%	 7	aspartate phosphatase [Bacillus sp. MD-5]	   96: 1.3e-05  136: 2.7e-03  177: 7.9e-05  219: 1.3e-09  258: 4.2e-10  297: 1.4e-01  333: 2.5e-04
54 	AEA14212.1	 423	  83.6	 7.0E-26	 2.5E-22 	100.00%	 7	transcriptional activator NprR [Bacillus thuringiensis serovar chinensis CT-43]	  151: 3.1e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
55 	AFV16330.1	 423	  83.6	 7.0E-26	 2.5E-22 	100.00%	 7	transcriptional activator NprA [Bacillus thuringiensis Bt407]	  151: 3.1e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
56 	AGF99236.1	 423	  83.6	 7.0E-26	 2.5E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus thuringiensis serovar thuringiensis str. IS5056]	  151: 3.1e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
57 	ANS46206.1	 423	  83.6	 7.0E-26	 2.5E-22 	100.00%	 7	transcriptional activator NprA [Bacillus thuringiensis]	  151: 3.1e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
58 	ABG86821.1	 433	  83.4	 7.7E-26	 2.7E-22 	100.00%	 9	DNA-binding protein [Clostridium perfringens SM101]	   75: 2.6e-04  115: 2.0e-04  155: 8.6e-05  197: 1.0e-04  237: 2.7e-06  277: 1.2e-06  316: 7.2e-04  355: 3.1e-03  395: 7.1e-06
59 	AZV55622.1	 434	  83.4	 7.7E-26	 2.7E-22 	100.00%	 9	helix-turn-helix domain-containing protein [Clostridium sp. AWRP]	   75: 3.1e-05  115: 8.4e-05  155: 1.1e-04  197: 4.3e-05  237: 8.9e-08  277: 3.0e-06  316: 8.1e-03  355: 2.5e-02  395: 4.1e-05
60 	ADH05340.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	transcriptional activator NprR [Bacillus thuringiensis BMB171]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
61 	ALZ63648.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	Transcriptional activator NprA [Bacillus cereus]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
62 	QIZ40725.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	helix-turn-helix transcriptional regulator [Bacillus sp. RZ2MS9]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
63 	ARX64583.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	transcriptional regulator [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
64 	ASZ64422.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	transcriptional regulator [Bacillus cereus]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
65 	AZR75497.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	transcriptional regulator [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
66 	QCC38936.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	transcriptional regulator [Bacillus sp. DU-106]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
67 	QFR28089.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus thuringiensis]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
68 	QGY33820.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. A260]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
69 	QLF00149.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
70 	QQP80171.1	 423	  83.3	 8.6E-26	 3.0E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. TK-2]	  151: 3.8e-03  189: 7.0e-06  229: 1.3e-07  270: 4.8e-11  308: 2.0e-05  349: 3.4e-02  387: 8.7e-05
71 	ACK61360.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional activator [Bacillus cereus B4264]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
72 	AHA69856.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional activator [Bacillus thuringiensis YBT-1518]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
73 	AKR33588.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	Helix-turn-helix domain protein [Bacillus thuringiensis serovar indiana]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
74 	BAR86396.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional activator [Bacillus thuringiensis serovar tolworthi]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
75 	ASI81638.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
76 	AVR30439.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
77 	QBZ23642.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
78 	QDD81838.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional regulator,TPR domain protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
79 	QFX98321.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
80 	BCA35014.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	transcriptional regulator [Bacillus wiedmannii]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
81 	QKH08055.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
82 	QKH13860.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
83 	QQU29964.1	 423	  83.2	 9.3E-26	 3.3E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus cereus]	  111: 6.8e-03  151: 2.5e-04  189: 8.8e-03  229: 1.7e-07  270: 1.5e-12  308: 2.4e-06  342: 1.0e-03
84 	ACD24378.1	 414	  83.0	 1.0E-25	 3.5E-22 	100.00%	 9	helix-turn-helix domain protein [Clostridium botulinum B str. Eklund 17B (NRP)]	   57: 1.3e-05   97: 2.5e-04  137: 1.2e-04  179: 2.6e-06  219: 3.3e-07  259: 5.9e-06  298: 2.1e-03  337: 4.3e-02  377: 4.7e-04
85 	CDH89671.1	 414	  83.0	 1.0E-25	 3.5E-22 	100.00%	 9	putative transcriptional regulator [Clostridium botulinum B str. Eklund 17B (NRP)]	   57: 1.3e-05   97: 2.5e-04  137: 1.2e-04  179: 2.6e-06  219: 3.3e-07  259: 5.9e-06  298: 2.1e-03  337: 4.3e-02  377: 4.7e-04
86 	AAP24616.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus anthracis str. Ames]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
87 	AAT29699.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus anthracis str. 'Ames Ancestor']	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
88 	ACP13970.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus anthracis str. CDC 684]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
89 	ACQ49212.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	transcriptional regulator/TPR domain protein [Bacillus anthracis str. A0248]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
90 	AFH81955.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	Transcriptional activator NprR [Bacillus anthracis str. H9401]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
91 	QHD20664.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	tetratricopeptide repeat protein [Bacillus anthracis str. BF1]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
92 	BBB70855.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	transcriptional activator NprA [Bacillus anthracis]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
93 	AHK36753.1	 422	  82.3	 1.7E-25	 6.1E-22 	100.00%	 7	Transcriptional activator NprR [Bacillus anthracis str. SVA11]	  151: 2.3e-03  189: 2.3e-05  229: 9.3e-08  270: 4.8e-11  308: 7.1e-06  349: 3.4e-02  387: 3.4e-04
